surface,role,action,ui_visible,route_allowed,api_allowed,object_scope,expected,actual,evidence,verdict
"/admin/consultation-availability","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultation-availability","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultation-availability","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultations","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultations","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultations","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultations","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultations","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultations","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/consultations","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/clients","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/clients","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/clients","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/clients","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/clients","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/clients","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/clients","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/messages","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/messages","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/messages","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/messages","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/messages","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/messages","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/messages","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases/new","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases/new","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases/new","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases/new","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases/new","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases/new","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/cases/new","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/calendar","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/calendar","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/calendar","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/calendar","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/calendar","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/calendar","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/calendar","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/tasks","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/tasks","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/tasks","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/tasks","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/tasks","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/tasks","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/tasks","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/documents","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/documents","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/documents","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/documents","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/documents","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/documents","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/documents","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/finance","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/finance","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/finance","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/finance","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/finance","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/finance","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/finance","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/reports","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/reports","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/reports","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/reports","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/reports","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/reports","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/reports","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/content","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/content","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/content","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/content","Secretary","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/content","Office Admin","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/content","Marketing Staff","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/content","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/contact-messages","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/contact-messages","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/contact-messages","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/contact-messages","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/contact-messages","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/contact-messages","Marketing Staff","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/contact-messages","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/notifications","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/notifications","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/notifications","Lawyer","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/notifications","Secretary","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/notifications","Office Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/notifications","Marketing Staff","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/notifications","Super Admin","open_page","true","true","static_contract_allows","route-level","allow","allowed by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/users","Guest","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/users","Client","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/users","Lawyer","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/users","Secretary","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
"/admin/users","Office Admin","open_page","false","false","static_contract_denies","route-level","deny","denied by default policy; DB runtime not executed","src/lib/admin-route-policy.ts; src/server/auth/policy-data.json; tests/server/admin-route-policy.test.ts","STATIC_PASS_RUNTIME_BLOCKED"
